--,Fehler n.def.,
--,Undefined error,
--,Erro indef.,

0,Ja,
0,Yes,
0,Sim,

1,Nein,
1,No,
1,Não,

2,Regeleditor,
2,Rule editor,
2,Editor de Regras,

3,Einzelsatzverwaltung,
3,Individual record management,
3,Gestao de registros individuais,


5,Summen der Buchungsdaten,
5,Totals of posting data,
5,Total Dados Registrados,

ABT,Abteilungen,
ABT,Departments,
ABT,Departamentos,

Abteilung,Abteilung,
Abteilung,Department,
Abteilung,Departamento,

Abteilungen:,Abteilungen,
Abteilungen:,Departments,
Abteilungen:,Departamentos,





ADLBUCH,Druck Leistungsnachweis MM,
ADLBUCH,Printing Performance ,
ADLBUCH,Imprimi Ficha Encargos por mes,

ADLBUCHAPL,Druck Arbeitsplatzübersicht,

ADLBUCHAPT,Arbeitsplatzübersicht Tag,


ADLBUCHTAG,Leistungsnachweis Tagesgenau,

ADLBUCHVB,Druck Leistungsnachweis,

ADLNACHWEI,Druck FA Erfassungsdaten,
ADLNACHWEI,PO pressure detection data ,
ADLNACHWEI,Imprimir dados captados por Ordem,

admin,Info,
admin,Info,
admin,Info,

Aenderung,Änderung,
Aenderung,Change date,
Aenderung,Alteracao,

ALLERHEILIGEN,Allerheiligen,
ALLERHEILIGEN,All Saints' Day,
ALLERHEILIGEN,Todos os Santos,

ANABW,An-/Abwesenheitsliste,
ANABW,List of attendees/absentees,
ANABW,Relatório Presentes / Ausentes,


Anlage,Neuanlage,
Anlage,Creation date,
Anlage,Criacao,




ASCHERMITTWOCH,Aschermittwoch,
ASCHERMITTWOCH,Ash Wednesday,
ASCHERMITTWOCH,Cinzas,

AUF,Kundenauftrag,
AUF,Customer order,
AUF,Encomenda,

AUF01,FA. Kopfdaten,
AUF01,Production order head,
AUF01,Cabecalho Ordems,

AUF02,FA. Details,
AUF02,Production order details,
AUF02,Detalhes Ordem,

AUFSTAT,Auftragsstati Aufträge,
AUFSTAT,Order statistics jobs ,
AUFSTAT,Status Ordems,

AUFSTATERF,Auftragsstati Buchungen,
AUFSTATERF,Order statistics bookings ,
AUFSTATERF,Registrar Status Ordems,

BACKUP,Backup,
BACKUP,Backup,
BACKUP,Backup,


BESART,Beschäftigungarten,
BESART,Modes of employment,
BESART,Tipo Empregado,

Betrag,Betrag,
Betrag,Reward Amount ,
Betrag,Valor Prémio,

Bezeichnung,Bezeichnung,
Bezeichnung,Designation ,
Bezeichnung,Remuneração (ModeloTempo),



BT_Print,Druck,

BT_T905Red,Plätze am Terminal,


BTN_AG,FA buchen,
BTN_AG,book production order,
BTN_AG,Registrar Ordem,

BTN_AGCANCEL,offenen Auftrag unterbrechen,
BTN_AGCANCEL,interrupt open order,
BTN_AGCANCEL,Interromper Ordem em Aberto,

BTN_AGENDE,offenen Auftrag beenden,
BTN_AGENDE,terminate open order,
BTN_AGENDE,Terminar Ordem em Aberto,

BTN_AGENDEALL,Alle Aufträge beenden,
BTN_AGENDEALL,terminate all orders,
BTN_AGENDEALL,terminar todas Ordems,

BTN_AGSTART,unterbr. Auftrag beginnen,
BTN_AGSTART,restart interrupted order,
BTN_AGSTART,Reiniciar Ordem interrompida,

BTN_CANCEL,Abbruch,
BTN_CANCEL,Cancel,
BTN_CANCEL,Cancelar,

BTN_DETAILS,Details,
BTN_DETAILS,Details ,
BTN_DETAILS,Detalhes Ordem,

BTN_ENDE,Speichern,
BTN_ENDE,Save,
BTN_ENDE,Guardar,

BTN_FA,Aufträge buchen,
BTN_FA,book orders,
BTN_FA,Registrar Ordems,

BTN_FAADMIN,FA fertigmelden,
BTN_FAADMIN,completion confirmation of a production order,
BTN_FAADMIN,Ordem Registrar como Feito,



BTN_FASTART,Auftrag beginnen,

BTN_FATA03,Schleusenverwaltung,

BTN_GEHT,Geht,
BTN_GEHT,Leaving,
BTN_GEHT,Saida,

BTN_GEMKST,Gemeinkostenstellen,
BTN_GEMKST,overhead cost centre,
BTN_GEMKST,Centro Custos Ind.,

BTN_GKZuoAll,Alle Störungen,


BTN_IGNORE,Ignorieren,
BTN_IGNORE,Ignore ,
BTN_IGNORE,Ignorar,

BTN_INFO,Information,
BTN_INFO,Information,
BTN_INFO,Informação,

BTN_KOMMT,Kommt,
BTN_KOMMT,Arriving,
BTN_KOMMT,Entrada,

BTN_KST,Kostenstellen,
BTN_KST,cost centres,
BTN_KST,Centros de Custo,


BTN_MAINMENUE,Hauptmenü,
BTN_MAINMENUE,Main menu,
BTN_MAINMENUE,Menu Principal,

BTN_MENGE,Eingabe Menge,

BTN_NIX,,
BTN_NIX,,
BTN_NIX,,

BTN_NO,Nein,
BTN_NO,No ,
BTN_NO,Não,

BTN_Ok,Ok,
BTN_Ok,Ok,
BTN_Ok,OK,

BTN_Ok_Cancel,Teilrückmeldung,

BTN_Ok_Ende,Endmeldung,


BTN_PAUSE,Pause,
BTN_PAUSE,Break,
BTN_PAUSE,Pausa,

BTN_ProgExit,Beenden,
BTN_ProgExit,End ,

Btn_PWChange,Kennwort ändern,

BTN_RETRY,Wiederholen,
BTN_RETRY,Repeat ,
BTN_RETRY,Repetir,

BTN_RUEST,Rüstzeiten,
BTN_RUEST,Setup times ,
BTN_RUEST,Tempo Ajustamento,

BTN_SL0,Alle angefangenen,
BTN_SL0,All unfinished ,

BTN_SLALL,Alle auswählen,
BTN_SLALL,Select All ,

BTN_SLDALL,Alle abwählen,




BTN_T905,Arbeitsplatz,
BTN_T905,Workplace,

BTN_T905All,Alle Plätze,




BTN_YES,Ja,
BTN_YES,Yes ,
BTN_YES,Sim,

BTN_ZUS,Zuschläge,
BTN_ZUS,Supplements ,
BTN_ZUS,Suplementos,


BUCHART,Buchungsarten,
BUCHART,Posting types,
BUCHART,Tipos Registro,

BUCHDAT,Buchungsdaten,
BUCHDAT,Posting data,
BUCHDAT,Dados registrados,

BUCHDATE,Stapelerfassung Buchungsdaten,
BUCHDATE,Batch capture booking data ,

BUCHSUM,Summen der Buchungsdaten,
BUCHSUM,Totals of posting data,
BUCHSUM,Total Dados Registrados,

BUCHWBC,Wechselbuchungen erstellen,

BUMNPRT,Druck Monatsbericht,
BUMNPRT,Print monthly report,
BUMNPRT,Imprimir Relatório Mensal Horas,

BUMNPRTLS,Monatsbericht Liste,

BUMNPRTZA,Druck Monatsbericht ZA,
BUMNPRTZA,Print Monthly Report ZA ,

BUNDLAND,Bundesländer,
BUNDLAND,Federal States,
BUNDLAND,Estados,

BuSum,Anwesenheitszeiten,
BuSum,Attendance ,
BuSum,Tempos de presenca,

BV,Benutzerverwaltung,
BV,User management,
BV,Gestão de Utilizadores,

C901_USER,Benutzer,
C901_USER,User,
C901_USER,Usuario,

C910_BILD,Foto,
C910_BILD,Photo,
C910_BILD,Foto,

C910_File,Dateiname,

C910_Nr,PersNr.,

C910_PersBild,Personalstamm Bilddaten,

C914,Lohnarten,
C914,Wage types,
C914,Tipos Salário,

C914_Betrag,Zeit (Stunden,Min,Tag),

C914_Betrag2,Betrag2,

C914_Einheit,Einheit,

C914_Lohnart,Lohnarten,
C914_Lohnart,Wage types,
C914_Lohnart,Tipos Salário,

C914_LohnartBez,Bezeichnung der Lohnart,

C914_Name,Name,

C914_PersNr,Personalnr.,

C914_Sort,Sortiernr. Druckausgabe,

C914_Vorname,Vorname,

C940_Bez,Bezeichnung,

C940_Datum,Schichtdatum,

C940_Nr,Personalnr.,

C940_Schicht,Schicht,

C940_Soll_AZM,abweichendes Sollzeitmodell,

C945_Bem,Kommentar,

C945_BuArt,Buchungsart,

C945_Datum,Datum,

C945_LAKonto,Kontotyp (Glz, Flex),

C945_Lohnart,Lohnart,



C945_Man,Kn. Änderung,

C945_PersNr,Personalnr.,

C945_StdBuch,Wert (in h),

C945_Stunde,Wert (in h),

C945_Tag,Wert (Tage),

C945_Vorgang,Vorgang,

C951,Monatsabschlußinformation,
C951,Month-end closing information,
C951,Informação Saldo Mensal,

C951_AbwPause,P-Abw.,
C951_AbwPause,Absent staff,
C951_AbwPause,Absentismo do pessoal,

C951_AbwZeitart,Zeitart Abwesend,
C951_AbwZeitart,Time type for absent,
C951_AbwZeitart,Tipo Tempo Ausencia,

C951_AbwZeitartBez,Bezeichnung Abw.Zeitart,
C951_AbwZeitartBez,Description time type for absent,
C951_AbwZeitartBez,Descrição Modelo Tempo alterado,

C951_AbwZmod,Abw.Z-Mod,
C951_AbwZmod,Time mode for absent,
C951_AbwZmod,Mod. Tempo dif.,


C951_Bem,Bemerkung,
C951_Bem,Comment,
C951_Bem,Observacao,

C951_Buchung,Monatsabschlußinformationen,
C951_Buchung,Month-end closing information,
C951_Buchung,Informação Saldo Mensal,

C951_DatumTS,Datum TimeStemp,
C951_DatumTS,Date TimeStamp,
C951_DatumTS,Data TimeStamp,


C951_Geht,Geht,
C951_Geht,Departure,
C951_Geht,Saida,

C951_GehtRound,Geht gerundet,
C951_GehtRound,Departure (rounded off),
C951_GehtRound,Saida Arredond.,

C951_GLStunde,Geitzeit-Std.,
C951_GLStunde,Flexitime hours,
C951_GLStunde,Horas Banco,

C951_GLTag,Geitzeit-Tage,
C951_GLTag,Flexitime days,
C951_GLTag,Dias Banco,

C951_GLVorgang,Geitzeit-Vorgang,
C951_GLVorgang,Flexitime process,
C951_GLVorgang,Operacao Banco,

C951_Herkunft,Herkunft,
C951_Herkunft,Origin,
C951_Herkunft,Origem,

C951_Kommt,Kommt,
C951_Kommt,Arrival,
C951_Kommt,Entrada,

C951_KommtRound,Kommt gerundet,
C951_KommtRound,Arrival (rounded off),
C951_KommtRound,Entrada Arredondada,

C951_LA,Lohnart,
C951_LA,Wage type,
C951_LA,Tipo Salário,

